Lineas correctas -> 232
Total errores -> 0

Id insertado -> 1 
Id insertado -> 2 
Id insertado -> 3 
Id insertado -> 4 
Id insertado -> 5 
Id insertado -> 6 
Id insertado -> 7 
Id insertado -> 8 
Id insertado -> 9 
Id insertado -> 10 
Id insertado -> 11 
Id insertado -> 12 
Id insertado -> 13 
Id insertado -> 14 
Id insertado -> 15 
Id insertado -> 16 
Id insertado -> 17 
Id insertado -> 18 
Id insertado -> 19 
Id insertado -> 20 
Id insertado -> 21 
Id insertado -> 22 
Id insertado -> 23 
Id insertado -> 24 
Id insertado -> 25 
Id insertado -> 26 
Id insertado -> 27 
Id insertado -> 28 
Id insertado -> 29 
Id insertado -> 30 
Id insertado -> 31 
Id insertado -> 32 
Id insertado -> 33 
Id insertado -> 34 
Id insertado -> 35 
Id insertado -> 36 
Id insertado -> 37 
Id insertado -> 38 
Id insertado -> 39 
Id insertado -> 40 
Id insertado -> 41 
Id insertado -> 42 
Id insertado -> 43 
Id insertado -> 44 
Id insertado -> 45 
Id insertado -> 46 
Id insertado -> 47 
Id insertado -> 48 
Id insertado -> 49 
Id insertado -> 50 
Id insertado -> 51 
Id insertado -> 52 
Id insertado -> 53 
Id insertado -> 54 
Id insertado -> 55 
Id insertado -> 56 
Id insertado -> 57 
Id insertado -> 58 
Id insertado -> 59 
Id insertado -> 60 
Id insertado -> 61 
Id insertado -> 62 
Id insertado -> 63 
Id insertado -> 64 
Id insertado -> 65 
Id insertado -> 66 
Id insertado -> 67 
Id insertado -> 68 
Id insertado -> 69 
Id insertado -> 70 
Id insertado -> 71 
Id insertado -> 72 
Id insertado -> 73 
Id insertado -> 74 
Id insertado -> 75 
Id insertado -> 76 
Id insertado -> 77 
Id insertado -> 78 
Id insertado -> 79 
Id insertado -> 80 
Id insertado -> 81 
Id insertado -> 82 
Id insertado -> 83 
Id insertado -> 84 
Id insertado -> 85 
Id insertado -> 86 
Id insertado -> 87 
Id insertado -> 88 
Id insertado -> 89 
Id insertado -> 90 
Id insertado -> 91 
Id insertado -> 92 
Id insertado -> 93 
Id insertado -> 94 
Id insertado -> 95 
Id insertado -> 96 
Id insertado -> 97 
Id insertado -> 98 
Id insertado -> 99 
Id insertado -> 100 
Id insertado -> 101 
Id insertado -> 102 
Id insertado -> 103 
Id insertado -> 104 
Id insertado -> 105 
Id insertado -> 106 
Id insertado -> 107 
Id insertado -> 108 
Id insertado -> 109 
Id insertado -> 110 
Id insertado -> 111 
Id insertado -> 112 
Id insertado -> 113 
Id insertado -> 114 
Id insertado -> 115 
Id insertado -> 116 
Id insertado -> 117 
Id insertado -> 118 
Id insertado -> 119 
Id insertado -> 120 
Id insertado -> 121 
Id insertado -> 122 
Id insertado -> 123 
Id insertado -> 124 
Id insertado -> 125 
Id insertado -> 126 
Id insertado -> 127 
Id insertado -> 128 
Id insertado -> 129 
Id insertado -> 130 
Id insertado -> 131 
Id insertado -> 132 
Id insertado -> 133 
Id insertado -> 134 
Id insertado -> 135 
Id insertado -> 136 
Id insertado -> 137 
Id insertado -> 138 
Id insertado -> 139 
Id insertado -> 140 
Id insertado -> 141 
Id insertado -> 142 
Id insertado -> 143 
Id insertado -> 144 
Id insertado -> 145 
Id insertado -> 146 
Id insertado -> 147 
Id insertado -> 148 
Id insertado -> 149 
Id insertado -> 150 
Id insertado -> 151 
Id insertado -> 152 
Id insertado -> 153 
Id insertado -> 154 
Id insertado -> 155 
Id insertado -> 156 
Id insertado -> 157 
Id insertado -> 158 
Id insertado -> 159 
Id insertado -> 160 
Id insertado -> 161 
Id insertado -> 162 
Id insertado -> 163 
Id insertado -> 164 
Id insertado -> 165 
Id insertado -> 166 
Id insertado -> 167 
Id insertado -> 168 
Id insertado -> 169 
Id insertado -> 170 
Id insertado -> 171 
Id insertado -> 172 
Id insertado -> 173 
Id insertado -> 174 
Id insertado -> 175 
Id insertado -> 176 
Id insertado -> 177 
Id insertado -> 178 
Id insertado -> 179 
Id insertado -> 180 
Id insertado -> 181 
Id insertado -> 182 
Id insertado -> 183 
Id insertado -> 184 
Id insertado -> 185 
Id insertado -> 186 
Id insertado -> 187 
Id insertado -> 188 
Id insertado -> 189 
Id insertado -> 190 
Id insertado -> 191 
Id insertado -> 192 
Id insertado -> 193 
Id insertado -> 194 
Id insertado -> 195 
Id insertado -> 196 
Id insertado -> 197 
Id insertado -> 198 
Id insertado -> 199 
Id insertado -> 200 
Id insertado -> 201 
Id insertado -> 202 
Id insertado -> 203 
Id insertado -> 204 
Id insertado -> 205 
Id insertado -> 206 
Id insertado -> 207 
Id insertado -> 208 
Id insertado -> 209 
Id insertado -> 210 
Id insertado -> 211 
Id insertado -> 212 
Id insertado -> 213 
Id insertado -> 214 
Id insertado -> 215 
Id insertado -> 216 
Id insertado -> 217 
Id insertado -> 218 
Id insertado -> 219 
Id insertado -> 220 
Id insertado -> 221 
Id insertado -> 222 
Id insertado -> 223 
Id insertado -> 224 
Id insertado -> 225 
Id insertado -> 226 
Id insertado -> 227 
Id insertado -> 228 
Id insertado -> 229 
Id insertado -> 230 
Id insertado -> 231 
Id insertado -> 232 
