Lineas correctas -> 155
Total errores -> 68

Fila : 2:  Error al subir foto, Archivo: 0 
Fila : 3:  Error al subir foto, Archivo: 0 
Fila : 4:  Error al subir foto, Archivo: 0 
Fila : 5:  Error al subir foto, Archivo: 0 
Fila : 6:  Error al subir foto, Archivo: 0 
Fila : 7:  Error al subir foto, Archivo: 0 
Fila : 8:  Error al subir foto, Archivo: 0 
Fila : 9:  Error al subir foto, Archivo: 0 
Fila : 12:  Error al subir foto, Archivo: 0 
Fila : 13:  Error al subir foto, Archivo: 0 
Fila : 14:  Error al subir foto, Archivo: 0 
Fila : 15:  Error al subir foto, Archivo: 0 
Fila : 16:  Error al subir foto, Archivo: 0 
Fila : 17:  Error al subir foto, Archivo: 0 
Fila : 18:  Error al subir foto, Archivo: 0 
Fila : 19:  Error al subir foto, Archivo: 0 
Fila : 20:  Error al subir foto, Archivo: 0 
Fila : 43:  Error al subir foto, Archivo: 0 
Fila : 44:  Error al subir foto, Archivo: 0 
Fila : 45:  Error al subir foto, Archivo: 0 
Fila : 46:  Error al subir foto, Archivo: 0 
Fila : 47:  Error al subir foto, Archivo: 0 
Fila : 58:  Error al subir foto, Archivo: 0 
Fila : 59:  Error al subir foto, Archivo: 0 
Fila : 60:  Error al subir foto, Archivo: 0 
Fila : 61:  Error al subir foto, Archivo: 0 
Fila : 63:  Error al subir foto, Archivo: 0 
Fila : 68:  Error al subir foto, Archivo: 0 
Fila : 69:  Error al subir foto, Archivo: 0 
Fila : 70:  Error al subir foto, Archivo: 0 
Fila : 71:  Error al subir foto, Archivo: 0 
Fila : 72:  Error al subir foto, Archivo: 0 
Fila : 73:  Error al subir foto, Archivo: 0 
Fila : 74:  Error al subir foto, Archivo: 0 
Fila : 76:  Error al subir foto, Archivo: 0 
Fila : 77:  Error al subir foto, Archivo: 0 
Fila : 78:  Error al subir foto, Archivo: 0 
Fila : 79:  Error al subir foto, Archivo: 0 
Fila : 82:  Error al subir foto, Archivo: 0 
Fila : 84:  Error al subir foto, Archivo: 0 
Fila : 88:  Error al subir foto, Archivo: 0 
Fila : 89:  Error al subir foto, Archivo: 0 
Fila : 90:  Error al subir foto, Archivo: 0 
Fila : 91:  Error al subir foto, Archivo: 0 
Fila : 92:  Error al subir foto, Archivo: 0 
Fila : 93:  Error al subir foto, Archivo: 0 
Fila : 94:  Error al subir foto, Archivo: 0 
Fila : 96:  Error al subir foto, Archivo: 0 
Fila : 97:  Error al subir foto, Archivo: 0 
Fila : 102:  Error al subir foto, Archivo: 0 
Fila : 103:  Error al subir foto, Archivo: 0 
Fila : 104:  Error al subir foto, Archivo: 0 
Fila : 105:  Error al subir foto, Archivo: 0 
Fila : 108:  Error al subir foto, Archivo: 0 
Fila : 109:  Error al subir foto, Archivo: 0 
Fila : 110:  Error al subir foto, Archivo: 0 
Fila : 116:  Error al subir foto, Archivo: 0 
Fila : 156:  Error al subir foto, Archivo: 0 
Fila : 157:  Error al subir foto, Archivo: 0 
Fila : 158:  Error al subir foto, Archivo: 0 
Fila : 159:  Error al subir foto, Archivo: 0 
Fila : 160:  Error al subir foto, Archivo: 0 
Fila : 161:  Error al subir foto, Archivo: 0 
Fila : 162:  Error al subir foto, Archivo: 0 
Fila : 163:  Error al subir foto, Archivo: 0 
Fila : 183:  Error al subir foto, Archivo: 0 
Fila : 184:  Error al subir foto, Archivo: 0 
Fila : 185:  Error al subir foto, Archivo: 0 
